Pesticide Name,URL,Allowed or prohibited,Check name,Cas Number,Carcinogen,Cas name,ADI,General human health issues,Wesslings Tests?,AGQ Tests?
Chlorpyrifos-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/155.htm,Approved,chlorpyrifos-methyl (Ref: OMS 1155),5598-13-0,Not carcinogenic,"O,O-dimethyl O-(3,5,6-trichloro-2-pyridinyl) phosphorothioate",0.01,Suspected cardiovascular & blood toxicantHighly toxic by ingestionSome studies indicate a link between chlorpyrifos metabolites and learning difficulties in childrenEndocrine issues - Antagonist to androgen activity,Tested,Tested
Metam-Sodium,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/447.htm,Approved,metam-sodium (Ref: N 869),137-42-8,Carcinogenic,methylcarbamodithioic acid sodium salt,0.001,Possible liver and urinary tract toxicantUSEPA - probable human carcinogen,Tested,Tested
(R)-Hexaconazole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3112.htm,Not approved,(R)-hexaconazole,-,Carcinogenic,"(R)-2-(2,4-dichlorophenyl)-1-(1H-1,2,4-triazol-1-yl)hexan-2-ol",-,"USEPA - possible human carcinogenEndocrine issues - Inhibition of aromatase activity, decrease of the estrogens production",Tested,Tested
(S)-Hexaconazole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3113.htm,Not approved,(S)-hexaconazole,-,Carcinogenic,"(S)-2-(2,4-dichlorophenyl)-1-(1H-1,2,4-triazol-1-yl)hexan-2-ol",-,"USEPA - possible human carcinogenEndocrine issues - Inhibition of aromatase activity, decrease of the estrogens production",Tested,Tested
"2,4,5-Trichlorophenoxyacetic Acid",https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1532.htm,Not approved,"2,4,5-trichlorophenoxyacetic acid",93-76-5,Carcinogen,"2,4,5-trichlorophenoxyacetic acid",-,Toxic by ingestion and inhalationMay cause contact dermatitis,Tested,Tested
"2,4-Dep",https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2942.htm,Not approved,"2,4-DEP",94-84-8,-,"tris[2-(2,4-dichlorophenoxy)ethyl] phosphite",-,No information available,Tested,Tested
"2,4-D-Dimethylammonium",https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3026.htm,Approved,"2,4-D-dimethylammonium",2008-39-1,Not carcinogenic,"2-(2,4-dichlorophenoxy)acetic acid compound with N-methylmethanamine (1:1)",-,Blood toxicant,Tested,Tested
4-Aminopyridine,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1348.htm,Not approved,4-aminopyridine (Ref: PRC-1237),504-24-5,Not carcinogenic,4-pyridinamine,0.0015,Highly toxic - death can result from respiratory arrest or heart failureLiver and brain toxicant,Tested,Tested
Acequinocyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/10.htm,Approved,acequinocyl,57960-19-7,Not carcinogenic,"2-(acetyloxy)-3-dodecyl-1,4-naphthalenedione",0.023,Blood toxicant,Tested,Tested
Acetoprole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2696.htm,Not approved,acetoprole (Ref: RPA 115782),209861-58-5,-,"1-(5-amino-1-(2,6-dichloro-4-(trifluoromethyl)phenyl)-4-(methylsulfinyl)-1H-pyrazol-3-yl)ethanone",-,No further information available,Tested,Tested
Acifluorfen-Sodium,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/14.htm,Not approved,acifluorfen-sodium (Ref: RH-6201 ),62476-59-9,Carcinogenic,sodium 5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoate,0.01,May causes irreversible eye damageLiver toxicantUSEPA - possible human carcinogen at high doses,Tested,Tested
Acrolein,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1016.htm,Not approved,acrolein,107-02-8,Not carcinogenic,2-propenal,-,"Highly toxic, causes respiratory congestion and heart failureIARC group 3 carcinogen",Tested,Tested
Aldimorph,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1128.htm,Not approved,aldimorph (Ref: LS-16284),91315-15-0,Not carcinogenic,"4-dodecyl-2,6-dimethyl-morpholine",-,Possible teratogen,Tested,Tested
Allethrin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/22.htm,Not approved,allethrin (Ref: FMC 249),584-79-2,Carcinogenic,"2-methyl-4-oxo-3-(2-propenyl)-2-cyclopenten-1-yl 2,2-dimethyl-3-(2-methyl-1-propenyl)cyclopropanecarboxylate",-,"Moderately toxicPotential mutagenKidney and liver toxicantInhalation may cause asthma, coughing, wheezing, running nose and eyes",Tested,Tested
Alpha-Endosulfan,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1661.htm,Not approved,alpha-endosulfan,959-98-8,Carcinogenic,"(3α,5αβ,6α,9α,9αβ)-6,7,8,9,10,10-hexachloro-1,5,5α,6,9,9α-hexahydro-6,9-methano-2,4,3-benzodioxathiepin 3-oxide",-,Mutagenic potentialHighly toxicEndocrine toxicant,Tested,Tested
Alpha-Hexachlorocyclohexane,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1642.htm,Not approved,alpha-hexachlorocyclohexane (Ref: ENT 9232),319-84-6,Carcinogen,-,-,"Exposure may cause dyspnoea, anorexia, tremors, convulsions and crampsLiver, kidney and heart toxicant",Tested,Tested
Alpha-Naphthylthiourea,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1269.htm,Not approved,alpha-naphthylthiourea,86-88-4,Carcinogenic,1-naphthalenylthiourea,-,"Highly toxicToxic antithyroid agentCauses pulmonary oedemaMay cause vomiting, shortness of breath, and bluish discoloration of the skin",Tested,Tested
Amibuzin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2700.htm,Not approved,amibuzin (Ref: DIC 3202),76636-10-7,-,"3-(dimethylamino)-6-(1,1-dimethylethyl)-4-methyl-1,2,4-triazin-5(4H)-one",-,No information available,Tested,Tested
Aminocyclopyrachlor,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1668.htm,Not approved,aminocyclopyrachlor (Ref: DPX-MAT28),858956-08-8,Not carcinogenic,6-amino-5-chloro-2-cyclopropyl-4-pyrimidinecarboxylic acid,-,No further information available,Tested,Tested
Anilofos,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1175.htm,Not approved,anilofos (Ref: HOE 30374),64249-01-0,-,"S-(2-((4-chlorophenyl)(1-methylethyl)amino)-2-oxoethyl) O,O-dimethyl phosphorodithioate",-,No further information available,Tested,Tested
